Iteration,Accuracy,Weight Decay
0,0.6441379310344828,3.4304692863149195e-08
1,0.6754022988505747,3.2639458219991734e-08
2,0.7328735632183908,1.5987111788417138e-08
3,0.7172413793103448,1.694633568898692e-08
4,0.76,1.7640969257885612e-07
5,0.752183908045977,3.199267137797384e-07
6,0.7889655172413793,3.199267137797384e-07
7,0.7889655172413793,3.047452535080618e-07
8,0.783448275862069,1.5293065079129583e-07
9,0.8004597701149425,3.96396275506239e-05
10,0.8059770114942528,0.00043587292797340083
11,0.8045977011494253,0.0007534075028189515
12,0.8114942528735632,0.00036265354746946684
13,0.8137931034482758,1.1385193403020284e-05
14,0.8160919540229885,1.5487250883917444e-05
15,0.8216091954022988,2.1747548641247966e-05
16,0.8110344827586207,4.7432008886478754e-05
17,0.8441379310344828,6.702129847571442e-05
18,0.8505747126436781,3.175405216099409e-05
19,0.8583908045977011,1.3530477745798077e-08
