Iteration,Accuracy,Weight Decay
0,0.6579310344827586,3.4304692863149195e-08
1,0.48,3.2639458219991734e-08
2,0.7255172413793104,1.5987111788417138e-08
3,0.7728735632183908,1.694633568898692e-08
4,0.7866666666666666,1.7640969257885612e-07
5,0.8009195402298851,3.199267137797384e-07
6,0.8271264367816092,3.199267137797384e-07
7,0.8170114942528736,3.047452535080618e-07
8,0.8179310344827586,1.5293065079129583e-07
9,0.8147126436781609,3.96396275506239e-05
10,0.8137931034482758,0.00043587292797340083
11,0.8174712643678161,0.0007534075028189515
12,0.8160919540229885,0.00036265354746946684
13,0.8188505747126437,1.1385193403020284e-05
14,0.8257471264367816,1.5487250883917444e-05
15,0.8257471264367816,2.1747548641247966e-05
16,0.8137931034482758,4.7432008886478754e-05
17,0.8234482758620689,6.702129847571442e-05
18,0.8211494252873563,3.175405216099409e-05
19,0.8289655172413793,1.3530477745798077e-08
