Iteration,Accuracy,Weight Decay
0,0.6856003986048829,0.04350343462103143
1,0.7757847533632287,0.024976940743916237
2,0.8266068759342302,0.014340191167883296
3,0.8450423517688092,0.008233237402443975
4,0.8609865470852018,0.0047270079827679235
5,0.8599900348779272,0.002713951192822261
6,0.8734429496761336,0.00155818037622785
7,0.8789237668161435,0.0008946093398005229
8,0.8814150473343298,0.0005136285137897905
9,0.8878923766816144,0.00029489324383393244
10,0.890881913303438,0.0001693091853823552
11,0.8948679621325362,9.720670396565467e-05
12,0.8988540109616343,5.5809986177224715e-05
13,0.8978574987543597,3.204258996583746e-05
14,0.9013452914798207,1.8396843325823638e-05
15,0.8993522670652716,1.0562312369747188e-05
16,0.8958644743398106,6.064216595219584e-06
17,0.9018435475834579,3.4816924198405245e-06
18,0.9003487792725461,1.9989691852251597e-06
19,0.8978574987543597,1.1476825984711098e-06
