Iteration,Accuracy,Weight Decay
0,0.6239460370994941,0.06846775782066554
1,0.7082630691399663,0.049252756986285534
2,0.7858347386172007,0.035430312718929324
3,0.8052276559865092,0.025487041460657042
4,0.8229342327150084,0.018334280241060232
5,0.8229342327150084,0.01318889179336965
6,0.8625632377740303,0.009487520887111427
7,0.8701517706576728,0.006824914025652041
8,0.897133220910624,0.004909549292357186
9,0.8895446880269815,0.003531718372347135
10,0.9047217537942664,0.0025405661332276197
11,0.903035413153457,0.0018275738880655916
12,0.8988195615514334,0.0013146779659287612
13,0.9080944350758853,0.0009457227231058764
14,0.9131534569983136,0.0006803122073830045
