Iteration,Accuracy,Weight Decay
0,0.56070826306914,0.09856703017754863
1,0.6146711635750421,0.09505156316910253
2,0.6652613827993255,0.08958274611833776
3,0.6686340640809444,0.08239959257266853
4,0.678752107925801,0.07381604081063549
5,0.6964586846543002,0.06420723323269063
6,0.7613827993254637,0.05399312083816452
7,0.7883642495784149,0.04362010935144712
8,0.8473861720067454,0.033541549149739544
9,0.8625632377740303,0.024197921676153977
10,0.8887015177065767,0.015997588286985182
11,0.8979763912310287,0.009298942900905173
12,0.9064080944350759,0.0043947484649525265
13,0.9123102866779089,0.0014993418089141951
14,0.9080944350758853,0.0007392660973616683
