Iteration,Accuracy,Weight Decay
0,0.48,3.4304692863149195e-08
1,0.48,3.2639458219991734e-08
2,0.48,1.5987111788417138e-08
3,0.48,1.694633568898692e-08
4,0.48,1.7640969257885612e-07
5,0.6887356321839081,3.199267137797384e-07
6,0.7494252873563219,3.199267137797384e-07
7,0.7917241379310345,3.047452535080618e-07
8,0.7852873563218391,1.5293065079129583e-07
9,0.7935632183908046,3.96396275506239e-05
10,0.7820689655172414,0.00043587292797340083
11,0.8119540229885057,0.0007534075028189515
12,0.8101149425287356,0.00036265354746946684
13,0.8087356321839081,1.1385193403020284e-05
14,0.8156321839080459,1.5487250883917444e-05
15,0.8142528735632184,2.1747548641247966e-05
16,0.8179310344827586,4.7432008886478754e-05
17,0.8151724137931035,6.702129847571442e-05
18,0.8220689655172414,3.175405216099409e-05
19,0.8280459770114943,1.3530477745798077e-08
