Iteration,Accuracy,Weight Decay
0,0.5421585160202361,0.06846775782066554
1,0.6897133220910624,0.049252756986285534
2,0.7942664418212478,0.035430312718929324
3,0.7858347386172007,0.025487041460657042
4,0.815345699831366,0.018334280241060232
5,0.8170320404721754,0.01318889179336965
6,0.872681281618887,0.009487520887111427
7,0.8684654300168634,0.006824914025652041
8,0.8903878583473862,0.004909549292357186
9,0.872681281618887,0.003531718372347135
10,0.8988195615514334,0.0025405661332276197
11,0.8684654300168634,0.0018275738880655916
12,0.8996627318718381,0.0013146779659287612
13,0.9123102866779089,0.0009457227231058764
14,0.9123102866779089,0.0006803122073830045
