Iteration,Accuracy,Weight Decay
0,0.6735632183908046,3.4304692863149195e-08
1,0.6813793103448276,3.2639458219991734e-08
2,0.7411494252873563,1.5987111788417138e-08
3,0.7664367816091954,1.694633568898692e-08
4,0.7829885057471264,1.7640969257885612e-07
5,0.7480459770114942,3.199267137797384e-07
6,0.7852873563218391,3.199267137797384e-07
7,0.774712643678161,3.047452535080618e-07
8,0.8041379310344827,1.5293065079129583e-07
9,0.7986206896551724,3.96396275506239e-05
10,0.824367816091954,0.00043587292797340083
11,0.8174712643678161,0.0007534075028189515
12,0.8202298850574713,0.00036265354746946684
13,0.8432183908045977,1.1385193403020284e-05
14,0.8220689655172414,1.5487250883917444e-05
15,0.8303448275862069,2.1747548641247966e-05
16,0.8436781609195402,4.7432008886478754e-05
17,0.8602298850574712,6.702129847571442e-05
18,0.8597701149425288,3.175405216099409e-05
19,0.8694252873563219,1.3530477745798077e-08
