Iteration,Accuracy,Weight Decay
0,0.5413153456998314,0.09238813240221595
1,0.648397976391231,0.08576911709979504
2,0.7006745362563238,0.07915010179737414
3,0.7495784148397976,0.07253108649495323
4,0.7571669477234402,0.06591207119253231
5,0.8220910623946037,0.059293055890111405
6,0.8490725126475548,0.05267404058769049
7,0.8785834738617201,0.046055025285269585
8,0.8853288364249579,0.03943600998284867
9,0.887858347386172,0.03281699468042776
10,0.8785834738617201,0.026197979378006858
11,0.8819561551433389,0.01957896407558593
12,0.8903878583473862,0.012959948773165031
13,0.9021922428330523,0.006340933470744117
14,0.9021922428330523,-0.00027808183167679634
