Iteration,Accuracy,Weight Decay
0,0.5733558178752108,0.09858055820270807
1,0.6138279932546374,0.09727226402360079
2,0.6231028667790893,0.09482192151862269
3,0.5885328836424958,0.09038950500613194
4,0.6290050590219224,0.08285422480701589
5,0.636593591905565,0.0713015550205379
6,0.6593591905564924,0.05612288902273666
7,0.6627318718381113,0.03976669372614862
8,0.6711635750421585,0.025510253204049822
9,0.6559865092748736,0.015206179604296877
10,0.7166947723440135,0.008723705342069515
11,0.7487352445193929,0.004994684165192468
12,0.7512647554806071,0.0029592295210260746
13,0.7715008431703204,0.0018799306687658744
14,0.7841483979763912,0.0013164192457227669
