Iteration,Accuracy,Weight Decay
0,0.6585160202360877,1.747528400007683e-09
1,0.6652613827993255,2.7224498908881834e-06
2,0.6956155143338955,5.652437050490834e-06
3,0.7411467116357504,1.4667411082013333e-06
4,0.7993254637436762,0.0004982290216050967
5,0.8220910623946037,0.0010347964949687597
6,0.8600337268128162,0.0002683931587758231
7,0.866779089376054,1.0403368176783266e-07
8,0.8566610455311973,1.792368340217104e-05
9,0.8743676222596964,0.00013713943858997027
10,0.8768971332209107,0.00010152379288562412
11,0.8903878583473862,3.470280638483994e-07
12,0.8794266441821248,9.152942703070501e-08
13,0.8802698145025295,8.255032631912933e-09
14,0.8853288364249579,1.6297508346206433e-08
