Iteration,Accuracy,Weight Decay
0,0.6349072512647554,0.09238813240221595
1,0.7116357504215851,0.08576911709979504
2,0.7512647554806071,0.07915010179737414
3,0.8018549747048904,0.07253108649495323
4,0.8229342327150084,0.06591207119253231
5,0.8397976391231029,0.059293055890111405
6,0.8608768971332209,0.05267404058769049
7,0.8752107925801011,0.046055025285269585
8,0.8735244519392917,0.03943600998284867
9,0.8920741989881956,0.03281699468042776
10,0.8752107925801011,0.026197979378006858
11,0.8794266441821248,0.01957896407558593
12,0.8887015177065767,0.012959948773165031
13,0.8887015177065767,0.006340933470744117
14,0.8929173693086003,-0.00027808183167679634
