Iteration,Accuracy,Weight Decay
0,0.642495784148398,0.08535984132026202
1,0.6526138279932546,0.07357799408195281
2,0.7917369308600337,0.0626786822172997
3,0.811973018549747,0.05266190572630273
4,0.8288364249578415,0.043527664608961875
5,0.8499156829679595,0.03527595886527714
6,0.8591905564924115,0.027906788495248514
7,0.8617200674536256,0.02142015349887602
8,0.8591905564924115,0.015816053876159652
9,0.8768971332209107,0.011094489627099403
10,0.8811129848229342,0.007255460751695274
11,0.8929173693086003,0.004298967249947263
12,0.8608768971332209,0.002225009121855379
13,0.8802698145025295,0.0010335863674196155
14,0.8650927487352446,0.0007246989866399735
