Iteration,Accuracy,Weight Decay
0,0.6214165261382799,0.08535984132026202
1,0.7782462057335582,0.07357799408195281
2,0.8077571669477235,0.0626786822172997
3,0.8010118043844857,0.05266190572630273
4,0.8010118043844857,0.043527664608961875
5,0.8254637436762225,0.03527595886527714
6,0.8338954468802698,0.027906788495248514
7,0.845699831365936,0.02142015349887602
8,0.851602023608769,0.015816053876159652
9,0.8583473861720068,0.011094489627099403
10,0.8431703204047217,0.007255460751695274
11,0.8490725126475548,0.004298967249947263
12,0.8625632377740303,0.002225009121855379
13,0.8591905564924115,0.0010335863674196155
14,0.8524451939291737,0.0007246989866399735
