Iteration,Accuracy,Weight Decay
0,0.627318718381113,1.747528400007683e-09
1,0.6391231028667791,2.7224498908881834e-06
2,0.6863406408094435,5.652437050490834e-06
3,0.6998313659359191,1.4667411082013333e-06
4,0.7478920741989882,0.0004982290216050967
5,0.8052276559865092,0.0010347964949687597
6,0.8448566610455311,0.0002683931587758231
7,0.8465430016863407,1.0403368176783266e-07
8,0.8086003372681282,1.792368340217104e-05
9,0.8288364249578415,0.00013713943858997027
10,0.8178752107925801,0.00010152379288562412
11,0.8288364249578415,3.470280638483994e-07
12,0.8246205733558178,9.152942703070501e-08
13,0.8381112984822934,8.255032631912933e-09
14,0.8448566610455311,1.6297508346206433e-08
