Iteration,Accuracy,Weight Decay
0,0.52,0.00013151007020786144
1,0.52,8.377205554021394e-05
2,0.5903448275862069,3.6034040872566454e-05
3,0.52,-1.1703973795081036e-05
4,0.52,-5.944198846272857e-05
5,0.52,-0.00010718000313037606
6,0.52,-0.00015491801779802356
7,0.52,-0.0002026560324656711
8,0.52,-0.0002503940471333186
9,0.52,-0.0002981320618009661
10,0.7659770114942529,-0.00034587007646861363
11,0.7673563218390804,-0.0003936080911362611
12,0.7719540229885058,-0.0004413461058039086
13,0.7659770114942529,-0.0004890841204715561
14,0.7728735632183908,-0.0005368221351392036
15,0.8248275862068966,-0.0005845601498068511
16,0.8248275862068966,-0.0006322981644744986
17,0.8533333333333334,-0.0006800361791421462
18,0.8519540229885058,-0.0007277741938097937
19,0.840919540229885,-0.0007755122084774412
