Iteration,Accuracy,Weight Decay
0,0.6112984822934233,0.06846775782066554
1,0.6922428330522765,0.049252756986285534
2,0.7875210792580101,0.035430312718929324
3,0.8229342327150084,0.025487041460657042
4,0.8195615514333895,0.018334280241060232
5,0.8229342327150084,0.01318889179336965
6,0.863406408094435,0.009487520887111427
7,0.8853288364249579,0.006824914025652041
8,0.8979763912310287,0.004909549292357186
9,0.9064080944350759,0.003531718372347135
10,0.9047217537942664,0.0025405661332276197
11,0.893760539629005,0.0018275738880655916
12,0.9097807757166948,0.0013146779659287612
13,0.9207419898819561,0.0009457227231058764
14,0.8895446880269815,0.0006803122073830045
