Iteration,Accuracy,Weight Decay
0,0.5708263069139966,0.06846775782066554
1,0.6964586846543002,0.049252756986285534
2,0.7580101180438449,0.035430312718929324
3,0.8094435075885329,0.025487041460657042
4,0.8465430016863407,0.018334280241060232
5,0.8372681281618887,0.01318889179336965
6,0.8625632377740303,0.009487520887111427
7,0.8347386172006745,0.006824914025652041
8,0.8566610455311973,0.004909549292357186
9,0.8777403035413154,0.003531718372347135
10,0.863406408094435,0.0025405661332276197
11,0.8777403035413154,0.0018275738880655916
12,0.8870151770657673,0.0013146779659287612
13,0.8532883642495784,0.0009457227231058764
14,0.8988195615514334,0.0006803122073830045
